,Time (min),Date,Bioreactor 12 - CER,Bioreactor 12 - Off-gas CO2%,Bioreactor 12 - OUR,Bioreactor 12 - RQ,Bioreactor 12 - Volume
88,2640.0,2018-08-01,0.0012703760918710099,0.013889953060288,,,203.16951630201598
89,2670.0,2018-08-01,0.0667712503141394,0.0182590662606074,3.15843570503959,0.163924324479724,203.186848015529
90,2700.0,2018-08-01,0.0899892200240895,0.00331406871094804,,,203.083274588708
91,2730.0,2018-08-01,0.0657247268349035,0.00241771012919261,,,201.340917255736
92,2760.0,2018-08-01,0.0815883898620131,0.00300000002607703,,,201.27747165028802
93,2790.0,2018-08-01,0.0402309985391886,0.00275440818257437,,,201.223915471908
94,2820.0,2018-08-01,0.0460219855452886,0.007250970752280059,,,199.635100582373
95,2850.0,2018-08-01,0.0801455331521703,0.0117961368568923,,,199.4488588095
96,2880.0,2018-08-01,0.107454589986845,0.0158146936932995,,,199.432681382802
97,2910.0,2018-08-01,0.12881651482769502,0.0190875935505802,,,197.936145323946
98,2940.0,2018-08-01,0.1451671568455,0.0213607038932797,,,197.66002597456298
99,2970.0,2018-08-01,0.164102695362769,0.0241356141794007,,,197.64357724403
100,3000.0,2018-08-01,0.174715454428893,0.025805729175375998,,,196.439426692128
101,3030.0,2018-08-01,0.18337007376392897,0.0269753394761456,,,195.87050325538002
102,3060.0,2018-08-01,0.19115587316706698,0.0281222585766844,,,195.853905647476
103,3090.0,2018-08-01,0.200433863808464,0.0294930360947521,,,195.837277199851
104,3120.0,2018-08-01,0.20736082020089605,0.0305045843429483,,,194.70581929802398
105,3150.0,2018-08-01,0.21591164604649696,0.0317669776881356,,,194.06390967915297
106,3180.0,2018-08-01,0.23012303714949,0.033852744972815,,,194.047160023801
107,3210.0,2018-08-01,0.248790138417608,0.0366066060934463,,,194.030341552456
108,3240.0,2018-08-01,0.265434314103514,0.0390459126238747,,,194.01344460309
109,3270.0,2018-08-01,0.283170274726155,0.0414493334068047,,,192.973826768772
110,3300.0,2018-08-01,0.309735796509646,0.0455691155347713,,,192.23940623893
111,3330.0,2018-08-01,0.344647212244097,0.0507099181105686,,,192.222202931524
112,3360.0,2018-08-01,0.39005788676967607,0.0573707627447299,,,192.20482692631802
113,3390.0,2018-08-01,0.45039318985900395,0.0662686846379491,,,192.187216904017
114,3420.0,2018-08-01,0.5218503581645201,0.0762217755177054,,,191.279007355201
